Country,Region,Population,Area (sq. mi.),Pop. Density (per sq. mi.),GDP ($ per capita),Literacy (%),Agriculture,Industry,Service,Latitude,Longitude,Phones (per 1000)
Germany,WESTERN EUROPE                     ,82422299,357021,230.9,27600,99,0.01,0.3,0.7,51.165691,10.451526,26.80
Ghana,SUB-SAHARAN AFRICA                 ,22409572,239460,93.6,2200,74.8,0.37,0.25,0.39,7.946527,-1.023194,244.30
Gibraltar,WESTERN EUROPE                     ,27928,7,3989.7,17500,,,,,36.137741,-5.345374,146.60
Greece,WESTERN EUROPE                     ,10688058,131940,81,20000,97.5,0.05,0.21,0.73,39.074208,21.824312,667.90
Greenland,NORTHERN AMERICA                   ,56361,2166086,0,20000,,,,,71.706936,-42.604303,14.40
Grenada,LATIN AMER. & CARIB    ,89703,344,260.8,5000,98,0.05,0.18,0.77,12.262776,-61.604171,877.70
Guadeloupe,LATIN AMER. & CARIB    ,452776,1780,254.4,8000,90,0.15,0.17,0.68,16.995971,-62.067641,589.70
Guam,OCEANIA                            ,171019,541,316.1,21000,99,,,,13.444304,144.793731,448.90
Guatemala,LATIN AMER. & CARIB    ,12293545,108890,112.9,4100,70.6,0.23,0.19,0.59,15.783471,-90.230759,364.50
Guernsey,WESTERN EUROPE                     ,65409,78,838.6,20000,,0.03,0.1,0.87,49.465691,-2.585278,463.80
Guinea,SUB-SAHARAN AFRICA                 ,9690222,245857,39.4,2100,35.9,0.24,0.36,0.4,9.945587,-9.696645,492.00
Guinea-Bissau,SUB-SAHARAN AFRICA                 ,1442029,36120,39.9,800,42.4,0.62,0.12,0.26,11.803749,-15.180413,92.10
Guyana,LATIN AMER. & CARIB    ,767245,214970,3.6,4000,98.8,0.37,0.2,0.43,4.860416,-58.93018,842.40
Haiti,LATIN AMER. & CARIB    ,8308504,27750,299.4,1600,52.9,0.28,0.2,0.52,18.971187,-72.285215,2.70
Honduras,LATIN AMER. & CARIB    ,7326496,112090,65.4,2600,76.2,0.14,0.31,0.55,15.199999,-86.241905,7.40
Hong Kong,ASIA (EX. NEAR EAST)         ,6940432,1092,6355.7,28800,93.5,0,0.09,0.91,22.396428,114.109497,143.50
Hungary,EASTERN EUROPE                     ,9981334,93030,107.3,13900,99.4,0.04,0.31,0.65,47.162494,19.503304,16.90
Iceland,WESTERN EUROPE                     ,299388,103000,2.9,30900,99.9,0.09,0.15,0.77,64.963051,-19.020835,67.50
India,ASIA (EX. NEAR EAST)         ,1095351995,3287590,333.2,2900,59.5,0.19,0.28,0.54,20.593684,78.96288,546.70
Indonesia,ASIA (EX. NEAR EAST)         ,245452739,1919440,127.9,3200,87.9,0.13,0.46,0.41,-0.789275,113.921327,336.20
Iran,ASIA (EX. NEAR EAST)         ,68688433,1648000,41.7,7000,79.4,0.12,0.42,0.46,32.427908,53.688046,647.70
Iraq,NEAR EAST                          ,26783383,437072,61.3,1500,40.4,0.07,0.67,0.26,33.223191,43.679291,45.40
Ireland,WESTERN EUROPE                     ,4062235,70280,57.8,29600,98,0.05,0.46,0.49,53.41291,-8.24389,52.00
Isle of Man,WESTERN EUROPE                     ,75441,572,131.9,21000,,0.01,0.13,0.86,54.236107,-4.548056,276.40
Israel,NEAR EAST                          ,6352117,20770,305.8,19800,95.4,0.03,0.32,0.66,31.046051,34.851612,38.60
Italy,WESTERN EUROPE                     ,58133509,301230,193,26700,98.6,0.02,0.29,0.69,41.87194,12.56738,500.50
Jamaica,LATIN AMER. & CARIB    ,2758124,10991,250.9,3900,87.9,0.05,0.34,0.62,18.109581,-77.297508,676.00
Japan,ASIA (EX. NEAR EAST)         ,127463611,377835,337.4,28200,99,0.02,0.26,0.73,36.204824,138.252924,462.30
Jersey,WESTERN EUROPE                     ,91084,116,785.2,24800,,0.05,0.02,0.93,49.214439,-2.13125,430.90
Jordan,NEAR EAST                          ,5906760,92300,64,4300,91.3,0.03,0.29,0.68,30.585164,36.238414,124.00
Kazakhstan,C.W. OF IND. STATES ,15233244,2717300,5.6,6300,98.4,0.07,0.39,0.55,48.019573,66.923684,461.20
Kenya,SUB-SAHARAN AFRICA                 ,34707817,582650,59.6,1000,85.1,0.16,0.19,0.65,-0.023559,37.906193,811.30
Kiribati,OCEANIA                            ,105432,811,130,800,,0.09,0.24,0.67,-3.370417,-168.734039,104.50
North Korea,ASIA (EX. NEAR EAST)         ,23113019,120540,191.8,1300,99,0.3,0.34,0.36,40.339852,127.510093,164.10
South Korea,ASIA (EX. NEAR EAST)         ,48846823,98480,496,17800,97.9,0.03,0.4,0.56,35.907757,127.766922,8.10
Kuwait,NEAR EAST                          ,2418393,17820,135.7,19000,83.5,0,0.48,0.52,29.31166,47.481766,42.70
